MachineID,EquipmentName,EquipmentType,Plant,Manufacturer,CommissionYear
P101,Pump-101,Pump,Plant-A,Siemens,2022
P102,Pump-102,Pump,Plant-B,Schneider,2019
P103,Pump-103,Pump,Plant-C,ABB,2023
P104,Pump-104,Pump,Plant-A,Siemens,2022
P105,Pump-105,Pump,Plant-B,Siemens,2016
T101,Tank-101,Tank,Plant-A,Schneider,2024
T102,Tank-102,Tank,Plant-B,Schneider,2022
T103,Tank-103,Tank,Plant-C,Schneider,2023
T104,Tank-104,Tank,Plant-A,Schneider,2017
T105,Tank-105,Tank,Plant-B,GE,2020
C101,Compressor-101,Compressor,Plant-A,Schneider,2019
C102,Compressor-102,Compressor,Plant-B,Siemens,2024
C103,Compressor-103,Compressor,Plant-C,GE,2021
C104,Compressor-104,Compressor,Plant-A,ABB,2023
C105,Compressor-105,Compressor,Plant-B,Schneider,2019
M101,Motor-101,Motor,Plant-A,ABB,2018
M102,Motor-102,Motor,Plant-B,Siemens,2020
M103,Motor-103,Motor,Plant-C,GE,2016
M104,Motor-104,Motor,Plant-A,GE,2023
M105,Motor-105,Motor,Plant-B,ABB,2021
