MachineID,ReadingTime,Temperature,Pressure,Flow,Vibration
P101,2026-08-01 00:00:00,70.71,86.83,142.01,2.68
P101,2026-08-01 01:00:00,69.0,90.77,129.58,3.09
P101,2026-08-01 02:00:00,74.89,100.17,158.55,2.47
P101,2026-08-01 03:00:00,68.41,85.23,131.09,3.7
P101,2026-08-01 04:00:00,71.2,84.92,105.16,3.32
P101,2026-08-01 05:00:00,77.2,101.52,108.02,2.99
P101,2026-08-01 06:00:00,72.82,97.62,135.69,2.98
P101,2026-08-01 07:00:00,76.75,95.81,125.2,3.31
P101,2026-08-01 08:00:00,61.8,91.16,111.53,2.29
P101,2026-08-01 09:00:00,70.07,112.94,104.42,3.57
P101,2026-08-01 10:00:00,60.22,90.98,122.93,3.27
P101,2026-08-01 11:00:00,76.98,104.52,113.72,2.43
P101,2026-08-01 12:00:00,78.01,92.7,97.04,1.89
P101,2026-08-01 13:00:00,65.56,100.97,122.56,3.35
P101,2026-08-01 14:00:00,69.01,96.9,131.26,2.55
P101,2026-08-01 15:00:00,75.2,87.06,113.47,2.49
P101,2026-08-01 16:00:00,63.63,100.84,111.55,2.81
P101,2026-08-01 17:00:00,75.37,100.36,131.98,2.72
P101,2026-08-01 18:00:00,69.04,94.04,89.63,1.64
P101,2026-08-01 19:00:00,62.74,83.03,127.2,2.08
P101,2026-08-01 20:00:00,69.35,110.59,113.59,3.39
P101,2026-08-01 21:00:00,65.46,92.53,102.9,2.53
P101,2026-08-01 22:00:00,77.88,74.27,127.82,2.99
P101,2026-08-01 23:00:00,67.84,77.65,121.3,2.38
P101,2026-08-02 00:00:00,73.63,95.26,148.83,2.61
P101,2026-08-02 01:00:00,64.84,97.15,123.96,3.89
P101,2026-08-02 02:00:00,77.85,99.28,146.34,1.85
P101,2026-08-02 03:00:00,67.52,83.88,112.98,1.7
P101,2026-08-02 04:00:00,76.45,92.33,93.53,1.99
P101,2026-08-02 05:00:00,74.19,105.06,155.94,5.13
P101,2026-08-02 06:00:00,74.9,83.13,81.62,3.01
P101,2026-08-02 07:00:00,66.31,90.02,108.98,2.69
P101,2026-08-02 08:00:00,79.46,96.88,117.14,1.97
P101,2026-08-02 09:00:00,60.28,89.16,119.03,4.21
P101,2026-08-02 10:00:00,72.91,106.79,111.01,1.85
P101,2026-08-02 11:00:00,65.24,86.3,158.31,2.14
P101,2026-08-02 12:00:00,77.87,84.16,136.77,3.11
P101,2026-08-02 13:00:00,70.9,94.51,108.21,3.16
P101,2026-08-02 14:00:00,68.82,80.29,97.0,2.94
P101,2026-08-02 15:00:00,83.05,96.92,117.86,3.03
P101,2026-08-02 16:00:00,81.14,97.63,112.6,3.69
P101,2026-08-02 17:00:00,75.0,113.43,123.3,1.82
P101,2026-08-02 18:00:00,62.42,114.81,151.03,2.66
P101,2026-08-02 19:00:00,69.32,112.54,100.07,2.08
P101,2026-08-02 20:00:00,76.5,90.26,119.91,2.67
P101,2026-08-02 21:00:00,74.36,111.89,121.63,3.32
P101,2026-08-02 22:00:00,57.65,94.42,104.82,1.82
P101,2026-08-02 23:00:00,65.85,90.99,136.49,1.74
P101,2026-08-03 00:00:00,72.21,89.19,114.1,3.6
P101,2026-08-03 01:00:00,75.77,111.05,117.22,2.24
P101,2026-08-03 02:00:00,70.43,97.91,123.18,1.93
P101,2026-08-03 03:00:00,72.63,97.74,165.31,4.3
P101,2026-08-03 04:00:00,66.03,91.55,93.66,2.33
P101,2026-08-03 05:00:00,74.21,109.47,106.88,2.28
P101,2026-08-03 06:00:00,56.97,93.05,100.88,2.38
P101,2026-08-03 07:00:00,65.86,93.87,88.36,1.63
P101,2026-08-03 08:00:00,86.9,79.55,100.26,4.27
P101,2026-08-03 09:00:00,92.34,80.94,113.37,3.07
P101,2026-08-03 10:00:00,84.1,83.16,115.58,3.42
P101,2026-08-03 11:00:00,75.04,90.49,117.59,1.7
P101,2026-08-03 12:00:00,70.33,91.8,124.18,2.36
P101,2026-08-03 13:00:00,75.3,107.15,122.8,3.08
P101,2026-08-03 14:00:00,72.37,95.0,107.01,3.05
P101,2026-08-03 15:00:00,71.32,120.12,148.32,3.11
P101,2026-08-03 16:00:00,66.66,81.65,141.44,3.01
P101,2026-08-03 17:00:00,75.36,74.06,136.69,3.16
P101,2026-08-03 18:00:00,64.23,89.34,124.75,2.84
P101,2026-08-03 19:00:00,69.95,93.76,115.46,2.92
P101,2026-08-03 20:00:00,82.3,64.2,115.74,2.94
P101,2026-08-03 21:00:00,74.07,90.54,88.38,3.06
P101,2026-08-03 22:00:00,84.09,76.59,135.55,2.54
P101,2026-08-03 23:00:00,71.57,82.37,113.98,3.84
P101,2026-08-04 00:00:00,76.08,115.79,141.19,3.15
P101,2026-08-04 01:00:00,84.21,100.27,134.9,2.56
P101,2026-08-04 02:00:00,72.47,86.63,137.81,1.86
P101,2026-08-04 03:00:00,77.48,92.71,141.08,3.4
P101,2026-08-04 04:00:00,84.74,103.77,91.7,2.75
P101,2026-08-04 05:00:00,63.8,88.78,147.2,3.31
P101,2026-08-04 06:00:00,67.11,82.84,120.59,1.83
P101,2026-08-04 07:00:00,67.3,98.74,140.8,3.29
P101,2026-08-04 08:00:00,55.96,98.65,121.3,3.13
P101,2026-08-04 09:00:00,83.31,70.24,109.36,3.27
P101,2026-08-04 10:00:00,60.93,112.71,126.63,3.48
P101,2026-08-04 11:00:00,68.0,104.77,139.23,2.99
P101,2026-08-04 12:00:00,73.64,98.24,104.46,2.68
P101,2026-08-04 13:00:00,70.93,99.6,138.0,1.95
P101,2026-08-04 14:00:00,71.12,112.78,106.62,10.74
P101,2026-08-04 15:00:00,73.42,105.13,120.21,3.86
P101,2026-08-04 16:00:00,78.0,105.1,129.97,4.66
P101,2026-08-04 17:00:00,,70.96,148.88,2.43
P101,2026-08-04 18:00:00,72.76,110.71,91.16,1.8
P101,2026-08-04 19:00:00,60.79,85.47,127.91,3.22
